id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
91,Dead Guy Imperial IPA,Rogue Ales,DIPA,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
92,Kompel L'or Noir,Brouwerij Kompel,Dark/Dubbel,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
93,Cacao Vida Ale,SinghBräu,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
94,Chardonnay Ale,SinghBräu,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
95,Sidekick,Two Brothers Brewing Company,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
96,Delirium Noël / Christmas,Delirium - Huyghe Brewery,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
97,Rodenbach FruitAge,Brouwerij Rodenbach,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
98,Rochehaut Hivern'ale,Brasserie de Rochehaut,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
99,Bayreuther URSTOFF,Bayreuther Bierbrauerei,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
100,Pineapple Punch,Hawkes,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
101,Moment NEIPA SUPERDELIC / CITRA,Maryensztadt,NEIPA/Hazy IPA,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
102,"Krombacher Weizen Alkoholfrei (0,4%)",Krombacher Gruppe,Non-Alcoholic,Xiao,Aachen,DE,50.7757,6.0843,,2026-01-23,2026,01,2026-01,Friday
103,Krombacher Weizen,Krombacher Gruppe,Wheat Beer,Xiao,Aachen,DE,50.7757,6.0843,,2026-01-23,2026,01,2026-01,Friday
